"operator_id","surface_syntax","operator_family","id_status","current_state","existing_anchor","planned_wave","notes"
"OP_UNARY_PLUS","+x","arithmetic_unary","provisional_local","covered_w45","docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md","Wave A","Runtime, Lean, and native Excel evidence now exist in W45 Wave A."
"OP_NEGATE","-x","arithmetic_unary","provisional_local","covered_w45","docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md","Wave A","Runtime, Lean, and native Excel evidence now exist in W45 Wave A."
"OP_ADD","x+y","arithmetic_binary","anchored_existing","covered_w45","docs/function-lane/FUNCTION_SLICE_OP_ADD_CONTRACT_PRELIM.md","Wave A","Existing OP_ADD slice widened and reconciled into the unified W45 arithmetic packet."
"OP_SUBTRACT","x-y","arithmetic_binary","provisional_local","covered_w45","docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md","Wave A","Runtime, Lean, and native Excel evidence now exist in W45 Wave A."
"OP_MULTIPLY","x*y","arithmetic_binary","provisional_local","covered_w45","docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md","Wave A","Runtime, Lean, and native Excel evidence now exist in W45 Wave A."
"OP_DIVIDE","x/y","arithmetic_binary","provisional_local","covered_w45","docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md","Wave A","Runtime, Lean, and native Excel evidence now exist in W45 Wave A."
"OP_POWER","x^y","arithmetic_binary","provisional_local","covered_w45","docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md","Wave A","Runtime, Lean, and native Excel evidence now exist in W45 Wave A."
"OP_PERCENT","x%","arithmetic_postfix","provisional_local","covered_w45","docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md","Wave A","Runtime, Lean, and native Excel evidence now exist in W45 Wave A."
"OP_CONCAT","x&y","concatenation","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_COMPARE_CONCAT_FAMILY_CONTRACT_PRELIM.md","Wave B","Runtime, Lean, and native Excel evidence now exist in W45 Wave B."
"OP_EQUAL","x=y","comparison","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_COMPARE_CONCAT_FAMILY_CONTRACT_PRELIM.md","Wave B","Runtime, Lean, and native Excel evidence now exist in W45 Wave B."
"OP_NOT_EQUAL","x<>y","comparison","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_COMPARE_CONCAT_FAMILY_CONTRACT_PRELIM.md","Wave B","Runtime, Lean, and native Excel evidence now exist in W45 Wave B."
"OP_LESS_THAN","x<y","comparison","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_COMPARE_CONCAT_FAMILY_CONTRACT_PRELIM.md","Wave B","Runtime, Lean, and native Excel evidence now exist in W45 Wave B."
"OP_LESS_EQUAL","x<=y","comparison","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_COMPARE_CONCAT_FAMILY_CONTRACT_PRELIM.md","Wave B","Runtime, Lean, and native Excel evidence now exist in W45 Wave B."
"OP_GREATER_THAN","x>y","comparison","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_COMPARE_CONCAT_FAMILY_CONTRACT_PRELIM.md","Wave B","Runtime, Lean, and native Excel evidence now exist in W45 Wave B."
"OP_GREATER_EQUAL","x>=y","comparison","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_COMPARE_CONCAT_FAMILY_CONTRACT_PRELIM.md","Wave B","Runtime, Lean, and native Excel evidence now exist in W45 Wave B."
"OP_RANGE_REF","x:y","reference_composition","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_REFERENCE_FAMILY_CONTRACT_PRELIM.md","Wave C","Runtime, Lean, and native Excel evidence now exist in W45 Wave C."
"OP_INTERSECTION_REF","x y","reference_composition","provisional_local","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_REFERENCE_FAMILY_CONTRACT_PRELIM.md","Wave C","Runtime, Lean, and native Excel evidence now exist in W45 Wave C."
"OP_UNION_REF","x,y","reference_composition","anchored_existing","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_REFERENCE_FAMILY_CONTRACT_PRELIM.md","Wave C","Runtime, Lean, and native Excel evidence now exist in W45 Wave C."
"OP_SPILL_REF","x#","reference_composition","anchored_existing","covered_w45","docs/function-lane/FUNCTION_SLICE_OP_SPILL_REF_CONTRACT_PRELIM.md","Wave C","Existing spill-anchor slice reconciled into the broader W45 reference-operator packet."
"OP_TRIM_REF_LEADING","<trim-leading>","reference_normalization","anchored_family","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_REFERENCE_FAMILY_CONTRACT_PRELIM.md","Wave C","Reference-normalization runtime plus transparency evidence now exist in W45 Wave C."
"OP_TRIM_REF_TRAILING","<trim-trailing>","reference_normalization","anchored_family","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_REFERENCE_FAMILY_CONTRACT_PRELIM.md","Wave C","Reference-normalization runtime plus transparency evidence now exist in W45 Wave C."
"OP_TRIM_REF_BOTH","<trim-both>","reference_normalization","anchored_family","covered_w45","docs/function-lane/FUNCTION_SLICE_OPERATOR_REFERENCE_FAMILY_CONTRACT_PRELIM.md","Wave C","Reference-normalization runtime plus transparency evidence now exist in W45 Wave C."
