"function_name","packet","interest_tier","interest_label","semantic_cluster","notes"
"CHOOSECOLS","W039","4","high_interest","dynamic_array_or_spill","Column-selection and duplication/order semantics."
"CHOOSEROWS","W039","4","high_interest","dynamic_array_or_spill","Row-selection and duplication/order semantics."
"DROP","W039","4","high_interest","dynamic_array_or_spill","Leading/trailing row or column omission semantics."
"EXPAND","W039","4","high_interest","dynamic_array_or_spill","Array growth and fill semantics."
"FILTER","W039","4","high_interest","dynamic_array_or_spill","Boolean include-mask and empty-result behavior."
"SORT","W039","4","high_interest","dynamic_array_or_spill","Primary-key sort behavior on dynamic arrays."
"SORTBY","W039","4","high_interest","dynamic_array_or_spill","Sort-by auxiliary array behavior."
"TAKE","W039","4","high_interest","dynamic_array_or_spill","Leading/trailing row or column extraction semantics."
"TOCOL","W039","4","high_interest","dynamic_array_or_spill","Flatten-to-column semantics with ignore/mode behavior."
"TOROW","W039","4","high_interest","dynamic_array_or_spill","Flatten-to-row semantics with ignore/mode behavior."
"TRANSPOSE","W039","4","high_interest","dynamic_array_or_spill","Axis-swap array publication behavior."
"UNIQUE","W039","4","high_interest","dynamic_array_or_spill","Distinctness and exactly-once behavior."
"VSTACK","W039","4","high_interest","dynamic_array_or_spill","Vertical append; pair with existing HSTACK precedent."
"WRAPCOLS","W039","4","high_interest","dynamic_array_or_spill","Column-wrap fill and padding behavior."
"WRAPROWS","W039","4","high_interest","dynamic_array_or_spill","Row-wrap fill and padding behavior."
