"operator_id","planned_wave","resolution","owner","notes"
"OP_UNARY_PLUS","Wave A","done","W45","Arithmetic unary runtime, Lean, and native Excel evidence in W45 Wave A."
"OP_NEGATE","Wave A","done","W45","Arithmetic unary runtime, Lean, and native Excel evidence in W45 Wave A."
"OP_ADD","Wave A","done","W45","Existing OP_ADD slice widened and reconciled into the unified operator packet."
"OP_SUBTRACT","Wave A","done","W45","Arithmetic binary runtime, Lean, and native Excel evidence in W45 Wave A."
"OP_MULTIPLY","Wave A","done","W45","Arithmetic binary runtime, Lean, and native Excel evidence in W45 Wave A."
"OP_DIVIDE","Wave A","done","W45","Arithmetic binary runtime, Lean, and native Excel evidence in W45 Wave A."
"OP_POWER","Wave A","done","W45","Arithmetic binary runtime, Lean, and native Excel evidence in W45 Wave A."
"OP_PERCENT","Wave A","done","W45","Arithmetic postfix runtime, Lean, and native Excel evidence in W45 Wave A."
"OP_CONCAT","Wave B","done","W45","Scalar concat runtime, Lean, and native Excel evidence in W45 Wave B."
"OP_EQUAL","Wave B","done","W45","Scalar comparison runtime, Lean, and native Excel evidence in W45 Wave B."
"OP_NOT_EQUAL","Wave B","done","W45","Scalar comparison runtime, Lean, and native Excel evidence in W45 Wave B."
"OP_LESS_THAN","Wave B","done","W45","Scalar comparison runtime, Lean, and native Excel evidence in W45 Wave B."
"OP_LESS_EQUAL","Wave B","done","W45","Scalar comparison runtime, Lean, and native Excel evidence in W45 Wave B."
"OP_GREATER_THAN","Wave B","done","W45","Scalar comparison runtime, Lean, and native Excel evidence in W45 Wave B."
"OP_GREATER_EQUAL","Wave B","done","W45","Scalar comparison runtime, Lean, and native Excel evidence in W45 Wave B."
"OP_RANGE_REF","Wave C","done","W45","Reference-composition runtime, Lean, and native Excel evidence in W45 Wave C."
"OP_INTERSECTION_REF","Wave C","done","W45","Reference-composition runtime, Lean, and native Excel evidence in W45 Wave C."
"OP_UNION_REF","Wave C","done","W45","Reference-composition runtime, Lean, and native Excel evidence in W45 Wave C."
"OP_SPILL_REF","Wave C","done","W45","Existing spill-anchor slice reconciled into the unified reference-operator family."
"OP_TRIM_REF_LEADING","Wave C","done","W45","Reference-normalization runtime, Lean metadata, and native transparency evidence in W45 Wave C."
"OP_TRIM_REF_TRAILING","Wave C","done","W45","Reference-normalization runtime, Lean metadata, and native transparency evidence in W45 Wave C."
"OP_TRIM_REF_BOTH","Wave C","done","W45","Reference-normalization runtime, Lean metadata, and native transparency evidence in W45 Wave C."
