policy_id,function_family,input_shape,pre_call_policy,ref_resolution_policy,array_lift_policy,admission_surface_policy,status,evidence_ids,excel_version_scope,compatibility_version_scope,notes
CO-POL-001,scalar_numeric_lift,scalar_text_numeric,to_number(parse_numeric_text),none,elementwise_if_array_admitted,worksheet_entry_normative_api_contextual,provisional,CO4-001;CO4-005,unbounded_provisional,unbounded_provisional,SIN/VALUE seed behavior.
CO-POL-002,scalar_numeric_lift,scalar_text_invalid,to_number(non_numeric_error),none,elementwise_if_array_admitted,worksheet_entry_normative_api_contextual,provisional,CO4-002,unbounded_provisional,unbounded_provisional,Runtime coercion error class, not admission failure.
CO-POL-003,scalar_numeric_lift,missing_required_arg,required_arg_admission_check,none,not_applicable,worksheet_entry_normative_api_contextual,provisional,CO4-004;W1-FA-BL-20260305,unbounded_provisional,unbounded_provisional,SIN() canonical omission seed.
CO-POL-004,scalar_numeric_lift,array_mixed_type,scalar_kernel_lift,none,elementwise_error_bearing,worksheet_entry_normative_api_contextual,provisional,CO4-007;CO4-008;CO4-009,unbounded_provisional,unbounded_provisional,Provisional with contradiction-trigger revision rule.
CO-POL-005,aggregate_family,direct_args_mixed,direct_arg_coercion_rule_set,none,not_lift_kernel,worksheet_entry_normative_api_contextual,provisional,CO4-010,unbounded_provisional,unbounded_provisional,Observed baseline behavior captured; no global precedence freeze.
CO-POL-006,aggregate_family,range_scan_mixed,range_scan_coercion_rule_set,single_sheet_ref,not_lift_kernel,worksheet_entry_normative_api_contextual,provisional,CO4-011;CO4-012,unbounded_provisional,unbounded_provisional,Baseline contrast row observed; direct-vs-range conflict remains per-family policy, not global.
CO-POL-007,reference_sensitive,indirect_eval_time_ref,coerce_post_resolve,eval_time_deref_capability_record,family_specific,worksheet_entry_normative_api_contextual,provisional,CO4-013,unbounded_provisional,unbounded_provisional,Requires declared eval-time deref capability.
CO-POL-008,reference_sensitive,offset_produced_ref,coerce_post_resolve,range_ref_produced_capability_record,family_specific,worksheet_entry_normative_api_contextual,provisional,CO4-014,unbounded_provisional,unbounded_provisional,Reference normalization required before resolve.
CO-POL-009,reference_sensitive,spill_anchor_ref,coerce_post_resolve,spill_anchor_capability_record,family_specific,worksheet_entry_normative_api_contextual,provisional,CO4-015,unbounded_provisional,unbounded_provisional,Dynamic-array dependent; keep explicit capability tag.
CO-POL-010,text_boundary_crossover,interop_over_cap_text,interop_truncate_then_coerce,none,not_applicable,worksheet_entry_normative_api_contextual,provisional,CO4-016;W7-STR-BL-20260305,unbounded_provisional,unbounded_provisional,W7/W4 bridge policy.
CO-POL-011,aggregate_family,empty_vs_missing,empty_cell_distinct_from_missing,single_sheet_ref,not_lift_kernel,worksheet_entry_normative_api_contextual,provisional,CO4-017,unbounded_provisional,unbounded_provisional,Boundary-tag distinction is normative.
CO-POL-012,reference_sensitive,external_open_state_ref,coerce_post_resolve,external_ref_capability_record,family_specific,worksheet_entry_normative_api_contextual,provisional,CO4-018,unbounded_provisional,unbounded_provisional,Baseline open-vs-closed external workbook behavior now captured via external_ref_open_state_compare.
