"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"W12S2-001","W12-S2","ready","formula_case","IFERROR","A1:=IFERROR(1/0,5)","","calculate","A1","A1","IFERROR fallback baseline","branch_error_mask","none","observed","primary_value2_eq:5","Seed keeps lazy fallback selection explicit."
"W12S2-002","W12-S2","ready","formula_case","ROUND","A1:=ROUND(12.34,1)","","calculate","A1","A1","ROUND half-away-from-zero baseline","round_numeric","none","observed","primary_value2_eq:12.3","Two-arg numeric kernel baseline."
"W12S2-003","W12-S2","ready","formula_case","AND","A1:=AND(TRUE,1,2)","","calculate","A1","A1","AND truthy fold baseline","logical_fold","none","observed","primary_value2_eq:True","Seed treats direct numeric/logical truthiness through values-only preparation."
"W12S2-004","W12-S2","ready","formula_case","DATE","A1:=DATE(1900,2,29)","","calculate","A1","A1","DATE 1900 leap-bug baseline","date_serial","none","observed","primary_value2_eq:60","Pins bounded 1900 serial seed against Excel-observable behavior."
"W12S2-005","W12-S2","ready","formula_case","IFERROR","A1:=IFERROR(1,1/0)","","calculate","A1","A1","IFERROR keeps non-error primary and masks fallback fault","branch_error_mask","none","observed","primary_value2_eq:1","Pins lazy fallback non-evaluation when primary is not an error."
"W12S2-006","W12-S2","ready","formula_case","IFERROR","A1:=IFERROR("""",5)","","calculate","A1","A1","IFERROR passes through empty-string primary","branch_error_mask","none","observed","primary_value2_eq:","Pins non-error empty-string primary lane."
"W12S2-007","W12-S2","ready","mixed_case","IFERROR","A1:=IFERROR(B1,5)","","calculate","A1","A1|B1","IFERROR blank-cell primary becomes zero","branch_error_mask","ref_required","observed","primary_value2_eq:0","Pins blank-cell primary coercion/result lane."
"W12S2-008","W12-S2","ready","formula_case","IFERROR","A1:=IFERROR(NA(),"""")","","calculate","A1","A1","IFERROR error-to-empty-string fallback","branch_error_mask","none","observed","primary_value2_eq:","Pins empty-string fallback materialization."
"W12S2-009","W12-S2","ready","formula_case","ROUND","A1:=ROUND(-1.25,1)","","calculate","A1","A1","ROUND negative half-away-from-zero","round_numeric","none","observed","primary_value2_eq:-1.3","Pins negative half-away-from-zero behavior."
"W12S2-010","W12-S2","ready","formula_case","ROUND","A1:=ROUND(123,-1)","","calculate","A1","A1","ROUND negative digits","round_numeric","none","observed","primary_value2_eq:120","Pins powers-of-ten rounding to the left of the decimal point."
"W12S2-011","W12-S2","ready","formula_case","ROUND","A1:=ROUND(1.5,0.9)","","calculate","A1","A1","ROUND truncates num_digits toward zero","round_numeric","none","observed","primary_value2_eq:2","Pins truncation of non-integral num_digits before rounding."
"W12S2-012","W12-S2","ready","formula_case","AND","A1:=AND(""1"")","","calculate","A1","A1","AND direct text is a value error","logical_fold","none","observed","primary_text_eq:#VALUE!","Pins direct-text error rather than text truthiness."
"W12S2-013","W12-S2","ready","mixed_case","AND","A1:=AND(B1:B3)","B1:=""x""|B3:=TRUE","calculate","A1","A1|B1|B2|B3","AND ignores reference-derived text and blank cells","logical_fold","ref_required","observed","primary_value2_eq:True","Pins reference-derived ignore policy."
"W12S2-014","W12-S2","ready","mixed_case","AND","A1:=AND(B1:B2)","B1:=""x""","calculate","A1","A1|B1|B2","AND all-ignored range lane returns value error","logical_fold","ref_required","observed","primary_text_eq:#VALUE!","Pins all-ignored logical fold outcome."
"W12S2-015","W12-S2","ready","formula_case","DATE","A1:=DATE(2024,14,1)","","calculate","A1","A1","DATE month overflow normalization","date_serial","none","observed","primary_value2_eq:45689","Pins year-month normalization before serial conversion."
"W12S2-016","W12-S2","ready","formula_case","DATE","A1:=DATE(1900,1,0)","","calculate","A1","A1","DATE day-zero boundary returns serial zero","date_serial","none","observed","primary_value2_eq:0","Pins the serial-0 boundary instead of treating it as #NUM!."
"W12S2-017","W12-S2","ready","formula_case","DATE","A1:=DATE(0,1,1)","","calculate","A1","A1","DATE short year zero normalizes to 1900","date_serial","none","observed","primary_value2_eq:1","Pins year-in-[0,1899] normalization."
"W12S2-018","W12-S2","ready","formula_case","DATE","A1:=DATE(2008,1,2.9)","","calculate","A1","A1","DATE truncates day toward zero","date_serial","none","observed","primary_value2_eq:39449","Pins numeric truncation before serial conversion."
"W12S2-019","W12-S2","ready","formula_case","DATE","A1:=DATE(1900,0,1)","","calculate","A1","A1","DATE month-zero underflow is numeric-domain error","date_serial","none","observed","primary_text_eq:#NUM!","Pins bounded numeric-domain rejection at the lower boundary."
