"bundle_member","query_or_trait","typed_result","covered_functions","owner_notes"
"ReferenceResolver","capabilities / resolve_reference / caller_context","Result<EvalValue, RefResolutionError> + optional CallerContext","CELL; AREAS; ISFORMULA; SUBTOTAL; AGGREGATE; ordinary resolver-visible families","Resolver-visible value/reference substrate; not a raw workbook object"
"TimeProvider","NowProvider::now_serial","f64","NOW","OxFunc validates arity and non-finite provider payloads"
"TimeProvider","TodayProvider::today_serial","f64","TODAY","OxFunc floors serial and applies presentation-aware return split separately"
"RandomProvider","RandomProvider::random_unit","f64","RAND","OxFunc validates [0,1) contract"
"LocaleFormatContext","profile.decimal_separator / thousands_separator / parser / formatter","typed locale/profile context","NUMBERVALUE; VALUE; formatting families already on locale substrate","W047 freeze only claims already-covered scope; omitted-default NUMBERVALUE is the seam-heavy lane in focus"
"HostInfoProvider","query_cell_info(CellInfoQuery, Option<ReferenceLike>)","Result<EvalValue, HostInfoError>","CELL; ISFORMULA","Includes explicit IsFormula lane"
"HostInfoProvider","query_info(InfoQuery)","Result<EvalValue, HostInfoError>","INFO","Workbook/application/environment facts stay above OxFunc"
"HostInfoProvider","query_formula_text(ReferenceLike)","Result<EvalValue, HostInfoError>","FORMULATEXT","Stored formula text retrieval is host-owned"
"HostInfoProvider","query_sheet_index(SheetIdentitySpec)","Result<EvalValue, HostInfoError>","SHEET","CurrentSheet / Reference / SheetNameText"
"HostInfoProvider","query_sheet_count(SheetCountSpec)","Result<EvalValue, HostInfoError>","SHEETS","Workbook / Reference"
"HostInfoProvider","query_aggregate_reference_context(ReferenceLike)","Result<AggregateReferenceContext, HostInfoError>","SUBTOTAL; AGGREGATE","Carries row hidden/filter/nested aggregate facts"
"HostInfoProvider","query_width_conversion_mode(WidthConversionFunction)","Result<WidthConversionMode, HostInfoError>","ASC; DBCS; JIS","Host/profile owns active conversion mode"
"HostInfoProvider","query_translate(TranslateRequest)","Result<TranslateProviderResult, HostInfoError>","TRANSLATE","Typed provider outcome remains separate from ordinary value return"
"RtdProvider","resolve_rtd(RtdRequest)","RtdProviderResult","RTD","Lifecycle/subscription state stays above OxFunc; OxFunc owns request normalization and result projection"
"RegisteredExternalProvider","resolve_register_id / lookup_registered_external / invoke_registered_external","Result<RegisteredExternalDescriptor, RegisteredExternalProviderError> / Result<EvalValue, RegisteredExternalProviderError>","CALL; REGISTER.ID","Separate from HostInfoProvider because registration/catalog runtime is not workbook metadata"
