handoff_id,direction,title,status,source_workset,target_workset,filed_date,acknowledged_date
"HO-FN-001","OxFunc->OxFml","W14 implicit intersection and scalarization seam requirements","filed","W014","OxFml formula-language + fec-f3e","2026-03-14",""
"HO-FN-002","OxFunc->OxFml","W15 CELL and INFO typed host-query seam","acknowledged","W015","OxFml formula-language + fec-f3e","2026-03-15","2026-03-15"
"HO-FN-003","OxFunc->OxFml","W52 unary negative literal and blank single-cell seam corrections","acknowledged","W052","OxFml W049/W050 follow-up","2026-03-26","2026-03-26"
"HO-FN-004","OxFunc->OxFml","Shared interface freeze promotion candidate V1","acknowledged","W042/W046/W047/W048/W049/W051","OxFml shared interface freeze candidate","2026-03-31","2026-03-31"
"HO-FN-005","OxFunc->OxFml","Ordinary operator broadcast semantics and fallback removal","filed","W074","OxFml ordinary operator seam follow-up","2026-04-07",""
"HO-FN-006","OxFunc->OxFml","Multi-area reference seam correction","filed","W075","OxFml same-sheet multi-area seam follow-up","2026-04-07",""
"HO-FN-007","OxFunc->OxFml","Multi-area value materialization Style A","filed","W076","OxFml same-sheet multi-area value-materialization follow-up","2026-04-07",""
"HO-FN-008","OxFunc->OxFml","Corpus IF correction and numeric comparison tolerance","filed","W077","OxFml corpus follow-up","2026-04-08",""
"HO-FN-009","OxFunc->OxFml","Locale/format seam ownership realignment","acknowledged","W082","OxFml locale-format/FEC seam follow-up","2026-04-10","2026-04-29"
"HANDOFF-OXFUNC-001","OxFml->OxFunc","Operator value surface and array-lift expansion","acknowledged","OxFml W059","W073","2026-04-07","2026-04-07"
"HANDOFF-OXFUNC-002","OxFml->OxFunc","Multi-area value materialization Style A","acknowledged","OxFml W059","W076","2026-04-07","2026-04-07"
"HANDOFF-OXFUNC-003","OxFml->OxFunc","Corpus IF empty-text condition and floating comparison follow-on","acknowledged","OxFml corpus follow-up","W077","2026-04-08","2026-04-08"
"HO-FN-010","OxFunc->OxFml","1x1 array result publication seam","filed","W089","OxFml/DNA Calc result-completion and smart-fuzzer comparator seam","2026-05-02",""
"HANDOFF-OXFUNC-004","DnaOneCalc->OxFunc","Canonical runtime function registry","acknowledged","DNA OneCalc function-help investigation","W091","2026-05-03","2026-05-03"
"HO-FN-011","OxFunc->OxFml","Canonical function registry consumption","acknowledged","W091","OxFml function lookup and editor-help consumers","2026-05-03","2026-05-04"
"HO-FN-012","OxFunc->DNA OneCalc","W091 canonical runtime function registry consumption","filed","W091","DNA OneCalc function help and UDF-capability registry consumers","2026-05-03",""
"HANDOFF-OXFUNC-005","OxFml->OxFunc","W068 canonical registry consumption landing","acknowledged","OxFml W068","W091","2026-05-04","2026-05-04"
"HO-FN-013","OxFunc->OxFml","Owned runtime registry metadata shape","filed","W091","OxFml W068 follow-up","2026-05-04",""
"HO-FN-014","OxFunc->OxFml","UDF registry mutation and name-resolution invalidation","filed","W093","OxFml formula binding/name-resolution/editor-help/cache invalidation","2026-05-04",""
"HANDOFF-OXFUNC-006","OxFml->OxFunc","W070 locale profile expansion request","acknowledged","OxFml W070","W094","2026-05-04","2026-05-04"
"HANDOFF-OXFUNC-007","DnaOneCalc->OxFunc","REDUCE / lambda-helper hot-loop allocator pressure","acknowledged","DnaOneCalc performance investigation","W095","2026-05-05","2026-05-06"
"HO-FN-015","OxFunc->OxFml","Callable batching invocation seam","filed","W095","OxFml lambda invocation performance follow-up","2026-05-06",""
"HO-FN-016","OxFunc->OxFml","Compiled surface call-site and full-catalog index dispatch","filed","W096","OxFml compiled lambda/model evaluation follow-up","2026-05-07",""
