"entry_name","entry_kind","execution_owner","local_work_class","local_work_summary"
"ordinary_operator_binary_array_lift","operator_family_gap","W073","bug_follow_up","BUG-FUNC-001 tracks the current OxFml handoff for array-involved binary arithmetic through the OxFunc operator surface and the related closure-surface correction work."
"ordinary_operator_broadcast_reconciliation","operator_family_gap","W074","bug_follow_up","BUG-FUNC-002 tracks the broader ordinary-operator broadcast rule proven by local Excel comparison and the downstream handoff needed to remove OxFml fallback behavior honestly."
"multi_area_reference_seam_correction","reference_family_gap","W075","bug_follow_up","BUG-FUNC-003 tracks the first-class same-sheet MultiArea seam correction across OP_UNION_REF, AREAS, INDEX, and related reference-sensitive transport surfaces."
"multi_area_value_materialization_style_a","reference_family_gap","W076","handoff_follow_up","HANDOFF-OXFUNC-002 tracks the follow-on seam narrowing that moves same-sheet MultiArea value materialization into OxFunc-owned resolver-driven combination semantics."
"numeric_comparison_tolerance_follow_on","function_family_gap","W077","bug_follow_up","BUG-FUNC-004 tracks the current corpus follow-on: IF/IFS empty-text condition is pinned as no local bug, while operators plus criteria/database/SWITCH reopen around Excel near-equality numeric comparison tolerance."
"power_zero_to_zero_num_error","function_and_operator_gap","W078","closed_bug_follow_up","BUG-FUNC-005 is closed: fresh Excel replay on 2026-04-29 confirmed POWER(0,0) and OP_POWER 0^0 must surface #NUM!, and the local Rust/Lean correction is landed on 5d54d7f4ab2cdde6458272292d15ae1b317a0fef."
"lookup_family_array_lookup_value_lifting","function_family_gap","W079","closed_bug_follow_up","BUG-FUNC-006 is closed: XMATCH, MATCH, VLOOKUP, and HLOOKUP are landed on 5d54d7f4ab2cdde6458272292d15ae1b317a0fef; the adjacent XLOOKUP correction is landed on b1faa5e8f08cd534601dc57bf79a9fed3ff26972."
"function_array_support_systematic_sweep","function_family_gap","W090","review_follow_up","W080 seed rows are closed on landed refs for BUG-FUNC-007, BUG-FUNC-008, and BUG-FUNC-016; W090 owns the broader systematic function-array-support sweep across the supported surface without per-case prose for pass-heavy rows."
"text_scalar_and_delimiter_array_support_batch_a","function_family_gap","W080","closed_bug_follow_up","BUG-FUNC-008 is closed on landed ref 2e818f03a71ba393690275a7fb437ddd9a6bf760; broader supported-surface array-support review now continues under W090."
"text_search_replace_array_support_batch_b","function_family_gap","W080","closed_bug_follow_up","BUG-FUNC-016 is closed: the second bounded W080 follow-on batch for FIND, SEARCH, REPLACE, PROPER, and SUBSTITUTE is landed on b1faa5e8f08cd534601dc57bf79a9fed3ff26972."
"rate_default_guess_convergence","function_gap","W081","bug_follow_up","BUG-FUNC-009 tracks the reopened RATE lane where Excel returns a small positive periodic rate for a mortgage-style omitted-guess row but the local default-guess solver path currently fails with #NUM!."
"math_scalar_numeric_array_lift_tranche_a","function_family_gap","W090","closed_bug_follow_up","BUG-FUNC-017 is closed on landed ref 0b966d0ee7c8ce4a327b0b3090f9a108248c37fd: W090 tranche A first found 32 Excel spill vs local #VALUE! mismatches across ROUND/ROUNDDOWN/ROUNDUP/TRUNC/CEILING/FLOOR/ATAN2/BASE families, then reran 34/34 exact typed bit matches after the array-lift repair."
"successor_scalar_parameter_array_lift","function_family_gap","W090","bug_follow_up","BUG-FUNC-018 tracks the first generated W090 successor sweep result: 127 local #VALUE! vs Excel array-result mismatches across 69 surfaces and arg1/arg2/arg3 scalar-parameter axes."
"complex_aggregate_array_literal_handling","function_family_gap","W090","bug_follow_up","BUG-FUNC-019 tracks IMPRODUCT and IMSUM array-literal aggregate handling found by the W090 engineering successor tranche: Excel returns scalar complex text while local returns #VALUE!."
"expand_array_pad_with_panic","function_family_gap","W090","bug_follow_up","BUG-FUNC-020 tracks EXPAND with array-valued pad_with reaching a local unreachable panic where Excel returns #VALUE!."
