"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"CO4-001","CO4-A","ready","formula_case","SIN","A1:=SIN(""1"")","","calculate","A1","A1","Scalar text-to-number coercion through numeric function","scalar_text_numeric","none","observed","","Baseline scalar parse coercion."
"CO4-002","CO4-A","ready","formula_case","SIN","A1:=SIN(""asd"")","","calculate","A1","A1","Non-numeric text coercion failure path","scalar_text_invalid","none","observed","","Should surface runtime error outcome, not admission failure."
"CO4-003","CO4-A","ready","formula_case","ASIN","A1:=ASIN(2)","","calculate","A1","A1","Numeric domain error path after admitted call","numeric_domain","none","observed","","Canonical runtime domain error seed."
"CO4-004","CO4-A","ready","formula_case","SIN","A1:=SIN()","","calculate","A1","A1","Required-argument omission admission behavior","missing_required_arg","none","failed","notes_contains:0x800A03EC&&execution_status_eq:failed","Admission boundary probe."
"CO4-005","CO4-A","ready","formula_case","VALUE","A1:=VALUE(""1E-307"")","","calculate","A1","A1","Text numeric parsing near floating-point edge","scalar_text_numeric","none","observed","","Feeds W2/W4 coercion linkage."
"CO4-006","CO4-A","ready","formula_case","N","A1:=N(TRUE)","","calculate","A1","A1","Logical-to-number coercion policy seed","logical_numeric","none","observed","","Scalar logical conversion baseline."
"CO4-007","CO4-B","ready","formula_case","SIN","A1:=SIN({1,""asd"",3})","","calculate","A1","A1","Array-lift mixed-type behavior for scalar numeric lift","array_lift_mixed","none","observed","","Track elementwise vs collapsed error outcome."
"CO4-008","CO4-B","ready","formula_case","ABS","A1:=ABS({-1,""asd"",2})","","calculate","A1","A1","Array-lift mixed-type behavior for ABS seed family","array_lift_mixed","none","observed","","W5 dependency seed."
"CO4-009","CO4-B","ready","formula_case","ASIN","A1:=ASIN({0,2})","","calculate","A1","A1","Array-lift domain error propagation within lifted evaluation","array_lift_domain","none","observed","","Check mixed-validity vector behavior."
"CO4-010","CO4-C","ready","formula_case","SUM","A1:=SUM(""1"",2)","","calculate","A1","A1","Direct-argument coercion behavior for aggregate family","aggregate_direct_arg","none","observed","","Paired with range-scan seeds."
"CO4-011","CO4-C","ready","mixed_case","SUM","B1:=SUM(A1:A3)","A1:=1|A2:=""2""|A3:=""asd""","calculate","B1","A1|A2|A3|B1","Range-scan coercion behavior for mixed range values","aggregate_range_scan","single_sheet_ref","observed","","Primary direct-vs-range contrast seed."
"CO4-012","CO4-C","ready","mixed_case","SUM","B1:=SUM(A1:A3)|B2:=SUM(A1,A2,A3)","A1:=1|A2:=""2""|A3:=""asd""","calculate","B1","A1|A2|A3|B1|B2","Conflict probe: range-scan vs direct-arg coercion on same inputs","aggregate_conflict_compare","single_sheet_ref","observed","","Used for per-family decision matrix."
"CO4-013","CO4-D","ready","mixed_case","INDIRECT","B1:=SUM(INDIRECT(""A1:A3""))","A1:=1|A2:=2|A3:=3","calculate","B1","A1|A2|A3|B1","Ref->Val seam using eval-time dereference of text reference","ref_to_value_eval_time","eval_time_deref","observed","","Seed for capability-record seam classification."
"CO4-014","CO4-D","ready","mixed_case","OFFSET","B1:=SUM(OFFSET(A1,0,0,3,1))","A1:=1|A2:=2|A3:=3","calculate","B1","A1|A2|A3|B1","Ref-producing function consumed by aggregate","ref_to_value_offset","range_ref_produced","observed","","Reference normalization + dereference path."
"CO4-015","CO4-D","ready","formula_case","OP_SPILL_REF","A1:=SUM(B1#)","","calculate","A1","A1|B1","Spill-anchor reference normalization before coercion","ref_to_value_spill_anchor","spill_anchor_ref","observed","","Requires dynamic-array capable baseline workbook."
"CO4-016","CO4-E","ready","value_case","VALUE","B1:=VALUE(A1)","A1:=repeat(x,40000)","calculate","B1","A1|B1","Interop-ingress truncation followed by formula coercion","interop_text_truncation","none","observed","","Connects W7 text cap behavior into W4 coercion model."
"CO4-017","CO4-E","ready","value_case","SUM","B1:=SUM(A1:A2)","A1:=empty|A2:=1","calculate","B1","A1|A2|B1","Empty-cell coercion in aggregate range-scan path","empty_cell_coercion","single_sheet_ref","observed","","Distinguish empty cell from missing arg."
"CO4-018","CO4-F","ready","formula_case","INDIRECT","A1:=INDIRECT(""[ClosedWorkbook.xlsx]Sheet1!A1"")","","external_ref_open_state_compare","A1","A1","External/open-state dependency in ref resolution","external_ref_resolution","external_workbook_ref","observed","","Closed-vs-open external reference compare using generated workbook artifact."
