report_id,filed_date,title,status,reported_against_ref,reported_against_kind,source_channel,canonical_bug_id,report_path,last_reviewed,notes
"BUGREP-FUNC-001","2026-04-07","OxFml handoff: operator value surface and array-lift expansion","triaged","9e9c573a46d97e248a0373938fb53dcac916fac2","commit","downstream handoff","BUG-FUNC-001","docs/bugs/reports/BUGREP-FUNC-001_operator_value_surface_and_array_lift_handoff.md","2026-04-07","Inbound OxFml handoff HANDOFF-OXFUNC-001 processed into canonical bug stream BUG-FUNC-001 and bounded owner workset W073."
"BUGREP-FUNC-002","2026-04-07","Local Excel probe: ordinary operators broadcast arrays and pad missing coordinates with #N/A","triaged","9e9c573a46d97e248a0373938fb53dcac916fac2","commit","local empirical probe","BUG-FUNC-002","docs/bugs/reports/BUGREP-FUNC-002_local_excel_probe_operator_broadcast_semantics.md","2026-04-07","Opened during W073 follow-up after local Excel comparison showed broader ordinary-operator broadcast semantics than the current OxFunc contracts and runtime admitted."
"BUGREP-FUNC-003","2026-04-07","OxFml upstream note: first-class same-sheet multi-area reference seam","triaged","9e9c573a46d97e248a0373938fb53dcac916fac2","commit","upstream note","BUG-FUNC-003","docs/bugs/reports/BUGREP-FUNC-003_upstream_note_first_class_multi_area_reference_seam.md","2026-04-07","Processed the current OxFml upstream note into canonical bug stream BUG-FUNC-003 and bounded owner workset W075."
"BUGREP-FUNC-004","2026-04-08","OxFml handoff claim on IF empty-text condition","closed_no_action","7989fafaef703f15f2bfbdded323c03345da1072","commit","downstream handoff","unassigned","docs/bugs/reports/BUGREP-FUNC-004_handoff_if_empty_text_condition_claim.md","2026-04-08","Live Excel replay on 2026-04-08 showed IF/IFS empty-text conditions return #VALUE!, and current OxFunc already matches that lane. The report is preserved for intake history but does not open a canonical OxFunc bug stream."
"BUGREP-FUNC-005","2026-04-08","OxFml handoff on numeric comparison tolerance","triaged","7989fafaef703f15f2bfbdded323c03345da1072","commit","downstream handoff","BUG-FUNC-004","docs/bugs/reports/BUGREP-FUNC-005_handoff_numeric_comparison_tolerance.md","2026-04-08","Processed into W077 and canonical bug BUG-FUNC-004 after local Excel replay confirmed the operator near-equality lane and widened the affected families."
"BUGREP-FUNC-006","2026-04-08","Local Excel probe on numeric comparison family split","triaged","7989fafaef703f15f2bfbdded323c03345da1072","commit","local empirical probe","BUG-FUNC-004","docs/bugs/reports/BUGREP-FUNC-006_local_excel_numeric_comparison_family_split.md","2026-04-08","Local Excel replay widened the bug from ordinary operators alone to criteria/database numeric criteria and SWITCH, while also pinning MATCH/XMATCH/DELTA as exact-match contrast lanes."
"BUGREP-FUNC-007","2026-04-08","Local Excel probe on POWER zero-to-zero domain error","triaged","7989fafaef703f15f2bfbdded323c03345da1072","commit","local empirical probe","BUG-FUNC-005","docs/bugs/reports/BUGREP-FUNC-007_local_excel_probe_power_zero_to_zero_num_error.md","2026-04-08","Live Excel replay on 2026-04-08 pinned both 0^0 and POWER(0,0) as #NUM!, opening canonical bug BUG-FUNC-005 and bounded owner workset W078 for the shared power-kernel correction."
"BUGREP-FUNC-008","2026-04-08","XMATCH array-valued lookup_value lift missing","triaged","7989fafaef703f15f2bfbdded323c03345da1072","commit","user","BUG-FUNC-006","docs/bugs/reports/BUGREP-FUNC-008_xmatch_array_lookup_value_lift_missing.md","2026-04-08","Inbound downstream corpus issue relayed by the user. The initial XMATCH report opens canonical lookup-selection family bug BUG-FUNC-006 and bounded owner workset W079."
"BUGREP-FUNC-009","2026-04-08","Local Excel probe on lookup-selection array-valued lookup_value family","triaged","7989fafaef703f15f2bfbdded323c03345da1072","commit","local test","BUG-FUNC-006","docs/bugs/reports/BUGREP-FUNC-009_local_excel_probe_lookup_selection_array_lookup_value_family.md","2026-04-08","Live Excel replay widened the original XMATCH report into a lookup-selection family stream spanning XMATCH, MATCH, and adjacent XLOOKUP risk."
"BUGREP-FUNC-010","2026-04-08","User follow-on: VLOOKUP and HLOOKUP array-valued lookup_value lifting","triaged","7989fafaef703f15f2bfbdded323c03345da1072","commit","user","BUG-FUNC-006","docs/bugs/reports/BUGREP-FUNC-010_vhlookup_array_lookup_value_lifting.md","2026-04-08","Follow-on user direction to check related lookup formulas. Live Excel replay widened BUG-FUNC-006 to include VLOOKUP and HLOOKUP as the same local array-valued lookup_value family, while XLOOKUP remains an explicit adjacent open lane."
"BUGREP-FUNC-011","2026-04-08","User follow-on: MID, LEFT, and RIGHT array-valued position/count spill","triaged","7989fafaef703f15f2bfbdded323c03345da1072","commit","user","BUG-FUNC-007","docs/bugs/reports/BUGREP-FUNC-011_text_slice_array_position_and_count_spill.md","2026-04-08","Follow-on user direction to check MID/LEFT/RIGHT against live Excel. Replay confirmed dynamic-array spill over array-valued start/count inputs and opened BUG-FUNC-007 plus review owner W080."
