"scenario_id","lane","formula","expected_text","expected_value2","expected_error","expected_spill_text","expected_spill_rows","expected_spill_cols","tolerance","notes"
"W45A-001","W45-A","+""2""","","2","","","","","0","Unary plus coerces numeric text."
"W45A-002","W45-A","-TRUE","","-1","","","","","0","Unary negate coerces logical TRUE to 1 before negation."
"W45A-003","W45-A","25%","","0.25","","","","","0","Postfix percent scales by 1/100."
"W45A-004","W45-A","5-2","","3","","","","","0","Binary subtraction baseline."
"W45A-005","W45-A","5*2","","10","","","","","0","Binary multiplication baseline."
"W45A-006","W45-A","5/2","","2.5","","","","","1e-12","Binary division baseline."
"W45A-007","W45-A","1/0","","","#DIV/0!","","","","","Divide-by-zero error lane."
"W45A-008","W45-A","2^3","","8","","","","","0","Power baseline."
"W45A-009","W45-A","(-1)^0.5","","","#NUM!","","","","","Real-domain invalid power lane."
"W45A-010","W45-A","{1,2}+{1;2}","","","","2|3|3|4","2","2","0","Row-vs-column arithmetic broadcasts as an outer-product grid."
"W45A-011","W45-A","{1,2}+{1,2,3}","","","","2|4|#N/A","1","3","0","Non-broadcastable arithmetic coordinates surface #N/A."
"W45A-012","W45-A","0^0","","","#NUM!","","","","","Zero-to-zero power lane surfaces #NUM! in Excel."
