"scenario_id","lane","status","scenario_kind","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","notes","expected_status","expected_observable"
"STR8-001","STR-C","ready","formula_case","A1:=""A""=""a""","","calculate","A1","A1","Default equality case-insensitive baseline","Compare equals operator versus case.","observed",""
"STR8-002","STR-C","ready","formula_case","A1:=EXACT(""A"",""a"")","","calculate","A1","A1","EXACT case-sensitive baseline","Paired with STR8-001.","observed",""
"STR8-003","STR-C","ready","formula_case","A1:=""e""=UNICHAR(233)","","calculate","A1","A1","Accent equality for equals operator","ASCII e compared with precomposed e-acute.","observed",""
"STR8-004","STR-C","ready","formula_case","A1:=EXACT(""e"",UNICHAR(233))","","calculate","A1","A1","Accent equality for EXACT","EXACT should remain strict.","observed",""
"STR8-005","STR-C","ready","formula_case","A1:=""A-B""=""A B""","","calculate","A1","A1","Punctuation normalization check","Dash vs space in equals.","observed",""
"STR8-006","STR-C","ready","formula_case","A1:=""A""="" A ""","","calculate","A1","A1","ASCII leading/trailing spaces in equals","No implicit trim in equals expected.","observed",""
"STR8-007","STR-C","ready","formula_case","A1:=UNICHAR(160)="" ""","","calculate","A1","A1","NBSP vs ASCII space equality","NBSP should not equal ASCII space.","observed",""
"STR8-008","STR-C","ready","formula_case","A1:=TRIM("" A   B "")","","calculate","A1","A1","TRIM on repeated ASCII spaces","Collapse internal ASCII spaces and remove edge spaces.","observed",""
"STR8-009","STR-C","ready","formula_case","A1:=TRIM(UNICHAR(160)&""A""&UNICHAR(160))","","calculate","A1","A1","TRIM on NBSP wrappers","NBSP handling boundary.","observed",""
"STR8-010","STR-C","ready","formula_case","A1:=LEN(CLEAN(CHAR(1)&""A""))","","calculate","A1","A1","CLEAN strips low control chars","Control 1 expected removed.","observed",""
"STR8-011","STR-C","ready","formula_case","A1:=LEN(CLEAN(CHAR(127)&""A""))","","calculate","A1","A1","CLEAN handling of CHAR(127)","CHAR(127) is outside traditional 0-31 range.","observed",""
"STR8-012","STR-C","ready","formula_case","A1:=LEN(UNICHAR(128512))","","calculate","A1","A1","LEN on surrogate-pair emoji","Checks Compatibility Version 2 behavior.","observed",""
"STR8-013","STR-C","ready","formula_case","A1:=UNICODE(UNICHAR(128512))","","calculate","A1","A1","UNICODE on emoji","Codepoint extraction baseline.","observed",""
"STR8-014","STR-C","ready","formula_case","A1:=EXACT(UNICHAR(128512),UNICHAR(128512))","","calculate","A1","A1","UNICHAR roundtrip equality","Identity check for generated emoji string.","observed",""
"STR8-015","STR-C","ready","formula_case","A1:=LEN(""e""&UNICHAR(769))","","calculate","A1","A1","LEN on combining-sequence text","Single glyph composed of base plus combining mark.","observed",""
"STR8-016","STR-C","ready","formula_case","A1:=EXACT(UNICHAR(233),""e""&UNICHAR(769))","","calculate","A1","A1","Precomposed vs combining exact comparison","Normalization-insensitive expectation check.","observed",""
"STR8-017","STR-C","ready","formula_case","A1:=FIND(""a"",""A"")","","calculate","A1","A1","FIND case sensitivity","Expected case-sensitive failure.","observed",""
"STR8-018","STR-C","ready","formula_case","A1:=SEARCH(""a"",""A"")","","calculate","A1","A1","SEARCH case insensitivity","Expected case-insensitive success.","observed",""
"STR8-019","STR-C","ready","formula_case","A1:=LEN(REPT(""x"",32767))","","calculate","A1","A1","Formula-generated text at documented cap","Upper-bound formula string length.","observed",""
"STR8-020","STR-C","ready","formula_case","A1:=LEN(REPT(""x"",32768))","","calculate","A1","A1","Formula-generated text one over cap","Expected overflow/error boundary.","observed",""
"STR8-021","STR-C","ready","formula_case","A1:=LEN(REPT(""x"",40000))","","calculate","A1","A1","Formula-generated text far above cap","Error behavior for large overflow.","observed",""
"STR8-022","STR-C","ready","formula_literal_repeat","","A1:=repeat(x,4095)","calculate","A1","A1","Formula literal admission at observed boundary (4095 chars)","Formula literal via COM Formula/Formula2 near observed admission limit.","observed",""
"STR8-023","STR-C","ready","formula_literal_repeat","","A1:=repeat(x,4096)","calculate","A1","A1","Formula literal admission just above observed boundary (4096 chars)","Formula literal one over observed admission boundary.","failed","notes_contains:0x800A03EC&&execution_status_eq:failed"
"STR8-024","STR-C","ready","formula_literal_repeat","","A1:=repeat(x,5000)","calculate","A1","A1","Formula literal admission far above observed boundary","Formula literal significantly over observed admission boundary.","failed","notes_contains:0x800A03EC&&execution_status_eq:failed"
