function_id,status,severity,as_of,excel_builds_judged,rows_judged,rows_agree,worst_ulp,exact_domain_note,kernel_story_ref,blocked_by,evidence_refs
FUNC.ABS,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.ACCRINT,divergent,unmeasured,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),146850,146850,,"July numeric_drift_open via BUG-FUNC-030; streams now closed_signed_off; conflict: July map said consistent, stock take says divergent; stock take wins; catalog 146,850/146,850 but stock take lists ACCRINT residual rows as not yet exact; conflict to resolve",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-030;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ACCRINTM,consistent,,2026-09-25,20430,2412,2412,0,"W111 G8-06 fix (shared Excel actual/actual, equal dates 0, rate > 0), two fresh corpora: 2412/2412 on build 20430, all rows agree; was divergent/structural; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1002/1206, misses {'gross': 198, 'last_bit': 4, 'structural': 2}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; single witness (W111-5)",,,docs/function-lane/evidence/w111-g8-accrintm-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ACOS,divergent,last_bit,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),34,33,1,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says divergent; stock take wins; ACOS(0.5) libm 1 ULP",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ACOSH,consistent,,2026-09-24,20430,1510,1510,0,"W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1510/1510, all rows agree; was unverified; earlier: July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says unverified; stock take wins; July map bit_exact_observed, no dedicated lane (W111-5)",,,docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ACOT,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),28,28,0,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); conflict: July map said divergent, stock take says consistent; stock take wins; small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ACOTH,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),335321,335321,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; incl. held-out 66,552/66,552; closed_signed_off; characterized-candidate",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ADDRESS,unverified,,,,,,,July structural_bug_open via BUG-FUNC-018; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-018
FUNC.AGGREGATE,unverified,,,,,,,July harness_pending: AggregateReferenceContext host info: OxCalc integration lane,,harness:workbook,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#harness_pending
FUNC.AMORDEGRC,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.AMORLINC,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.AND,divergent,structural,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: consistent below, open catalog row G1-02 above; catalog wins; catalog G1-02: direct text other than TRUE/FALSE raises #VALUE! where Excel ignores it; fix owned by oxf-xvt5.15",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G1-02
