"scenario_id","wave","formula","expected_text","expected_error","expected_spill_text","expected_spill_rows","expected_spill_cols","tolerance","notes"
"W45C-001","W45-C","=SUM((A1:B2))","10","","","","","0","Range operator baseline."
"W45C-002","W45-C","=ROWS((A1:B2))","2","","","","","0","Range operator preserves row shape."
"W45C-003","W45-C","=SUM((B2:A1))","10","","","","","0","Range operator normalizes reversed bounds."
"W45C-004","W45-C","=SUM((A1:C3 B2:D4))","13","","","","","0","Reference intersection baseline."
"W45C-005","W45-C","=ROWS((A1:C3 B2:D4))","2","","","","","0","Reference intersection row shape."
"W45C-006","W45-C","=SUM((A1:A2 C1:C2))","","#NULL!","","","","0","No-overlap intersection surfaces #NULL!."
"W45C-007","W45-C","=SUM((A1,B1))","4","","","","","0","Union operator over two single cells."
"W45C-008","W45-C","=SUM((A1:A2,B1:B2))","10","","","","","0","Union operator over two areas."
"W45C-009","W45-C","=INDEX((A1:A2,B1:B2),2,1,2)","4","","","","","0","Union target shape is consumable by INDEX area_num."
"W45C-010","W45-C","=SUM(( A1 ))","1","","","","","0","Trim-leading plus trim-trailing transparency lane."
"W45C-011","W45-C","=SUM((A1 ))","1","","","","","0","Trim-trailing transparency lane."
"W45C-012","W45-C","=SUM(( A1))","1","","","","","0","Trim-leading transparency lane."
