row_id,surface_cluster,current_oxfunc_path,excel_path_hypotheses,instruction_models_to_search,search_axes,next_discriminating_probe,status_20260710
G3-01-distributions,BETAINV/CHIINV and related inverse distributions,Rust special-function CDF plus iterative inverse solver,Legacy piecewise rational approximations and/or the same CDF under a fixed iteration schedule; thresholds may be stored binary constants,strict-f64; x87-PC64 continuous temporaries; x87 store after polynomial blocks; x87 FYL2X/F2XM1 in tail transforms,central vs tail probability; symmetry p vs 1-p; integer vs half-integer shape; iteration count and stop predicate,Probe paired p and 1-p at adjacent binary64 values and log every candidate iteration; rank models by final bits and branch symmetry,2-3 ULP on BETAINV/CHIINV witnesses
G3-02-gamma-reflection,GAMMA (+ GAMMALN substrate),Lanczos log-domain kernel + reflection via ln(pi)-ln|sin(pi x)|-lnGamma(1-x),"W109 run-2: GAMMALN x>=11 IDENTIFIED = plain-double Cephes Stirling tail + UCRT-class log (136/139; boundary in (10.25,11]). (0,11) core = CUSTOM Microsoft rational — Cephes/fdlibm/UCRT/R-SLATEC/Cody/DCDFLIB/AS245/GSL/NR/Boost all ruled out bit-exactly under every staging. GAMMA expected = exp over the same internal lgamma (+ sin reflection).","plain double (SSE2) throughout; internal CRT log (near-UCRT, 3 bracketing rows); custom banded rationals anchored at the lgamma zeros",band-edge bisection; near-zero cancellation ladders; integer args; Stirling log-bracketing rows,bisect Stirling boundary; harvest log-bracketing constraints x>=11; error-curve edge map + integer-relation coefficient recovery per band,"GAMMALN 361-row corpus: x>=11 identified 136/139; (0,11) custom kernel open (W109_GAMMALN_IDENTIFICATION_20260711.md)"
G3-03-linear-regression,FORECAST/FORECAST.LINEAR/TREND/LINEST/LOGEST,Normal equations X'X inverse and ordinary f64 matrix products,Excel's exact-line FORECAST equals both worksheet centered-slope and intercept-plus-slope decompositions exactly; centered covariance remains the leading single-predictor hypothesis while matrix functions may use a separate historical kernel,strict-f64 forward/reverse; x87-PC64 accumulator; store per add; compensated sums; centered covariance; normal equations,input order; translation by large constant; scaling; reversed rows; exact-linear data; intercept/no-intercept,Generate equivalent datasets under row reversal and x translation; calculation path is identified by which transformations preserve Excel bits,2-5 ULP; decomposition microprobe supports centered regression
G3-04-growth,GROWTH exponential regression,ln(y) -> normal-equation regression -> exp coefficients -> powf product,Excel GROWTH on exact geometric data differs from both worksheet log-domain regression and direct EXP/LN or POWER; this indicates a dedicated historical LOGEST/GROWTH regression path with its own accumulation and publication boundaries,current f64 ln/exp/powf; x87 FYL2X/F2XM1; historical regression accumulator; stored coefficients vs extended,geometric exact data; x translation; reversed rows; prediction at known x; one vs multiple predictors,Fingerprint LOGEST coefficients and GROWTH under row reversal/translation; do not assume worksheet SLOPE/INTERCEPT composition,11-13 ULP; simple one-final-EXP hypothesis disproved
G3-05-chisq-test,CHISQ.TEST/CHITEST,f64 statistic accumulation then chi-square survival function,Excel may sum terms in worksheet order under an extended accumulator and feed a legacy incomplete-gamma tail routine,strict-f64 sum; x87 accumulator; divide-before-square vs square-before-divide; gamma-tail branch variants,row order; scale observed/expected together; sparse cells; degrees of freedom; statistic near branch threshold,Construct permutations with identical mathematical statistic; isolate whether bits move before or inside the tail CDF,7-8 ULP on alias witnesses
G3-06-f-test,F.TEST/FTEST,sample variance computation then F tail probability,Excel likely uses a historical variance accumulator plus beta-tail routine; current 1 ULP may come from either boundary,one-pass variance; centered two-pass; x87 accumulator; beta-tail strict/x87,row reversal; translation; common scaling; equal variance; degrees of freedom,Hold the exact F statistic fixed with synthetic sums and separately vary data order to split variance from distribution drift,1 ULP on both aliases
G3-07-gauss-phi,GAUSS (PHI closed),"GAUSS: 0.5*erf(x/sqrt2) via libm erf. PHI CLOSED (W109 2026-07-11): RN53(RN64(x*x)) -> x87 EXP -> RN53(RN64(e*RN(1/sqrt(2pi)))), subnormal publication flush; 764/764",GAUSS: legacy erf/CDF substrate (Phase-5 lane; likely shares the internal extended special-function substrate),erf kernel variants; CDF-minus-half vs direct odd polynomial,x=0; tiny; cancellation region,"identify the erf/CDF substrate (Phase 5), then re-race GAUSS",GAUSS 2 ULP; PHI closed_signed_off 2026-07-11
"G4-01-trig-reduction","SIN/COS/TAN/COT/SEC/CSC","W109 2026-08-09 corrected current-reference path: SIN/TAN and reciprocal wrappers retain their identified graphs; COS keeps the |x|<2^-26 exact-one guard and FPREM1(|x|,FLDPI/2), uses FCOS on even quadrants, and on odd quadrants uses sign(FPTAN(r))*FSQRT(FPTAN(r)^2/(1+FPTAN(r)^2)) in continuous x87 PC64/RN arithmetic","identified current-reference graph; the former raw-FSIN odd-quadrant branch is superseded","selected tangent-square graph 2561/2561; rejected families recorded in the ruled-out ledger","tiny guard; quadrant parity; odd-residue sign; PC64/RN and spill boundaries; SEC/BESSELJ consumers","closed: retain original validation/threshold corpora, 1027-row discovery battery, 514-row frozen holdout, exact pins, and dependent-consumer replay","closed_signed_off; BUG-FUNC-047; landed ed9f222; G4-07 retired"
"G4-06-besselj-cosine","BESSELJ","landed graph: both J0/J1 asymptotic cosine sites use corrected worksheet COS; J0 alone publishes cosine*p through excel_x87_mul; remaining setup, Horner, sine, scaling, and recurrence operations remain ordinary","exact current-reference body identified","platform 454/794; former J0-only route 732/794; both old-COS routes 791/794; plus J0 x87 product 792/794; corrected COS plus J0 product 794/794","J0/J1 routing; cosine/sine sites; product masks; setup/Horner/recurrence; exact reduced phases","closed: retain full 794-row production replay and mandatory exact pins","closed_signed_off; BUG-FUNC-046; landed ed9f222; production 794/794; G4-06 retired"
"G4-07-cos-shared-phase","COS and internal COS inheritors","landed shared graph: |x|<2^-26 -> 1; otherwise FPREM1(|x|,FLDPI/2); even quadrants FCOS; odd quadrants sign(FPTAN(r))*FSQRT(FPTAN(r)^2/(1+FPTAN(r)^2)), continuous PC64/RN with no spills","exact current-reference odd-quadrant publication graph identified","selected graph 1027/1027 discovery + 1020/1020 prior validation + 514/514 frozen oracle-blind held-out","two original failing phases and neighbors; broad randomized disagreements; reduction/precision/store alternatives; SEC/BESSELJ consumers","closed: retain all corpora, manifests, hashes, exact pins, and dependent BESSELJ replay","closed_signed_off; BUG-FUNC-047; landed ed9f222; 2561/2561; G4-07 retired"
