scenario_id,lane,status,profile_id,scenario_kind,function_or_operator,formula_setup,value_setup,op_action,op_primary_cell,op_observe_cells,objective,coercion_axis,ref_resolution_axis,expected_status,expected_observable,notes
W13F-001,W13-FMT,ready,current_excel_host,formula_case,TEXT,"A1:=TEXT(1234.567,""0"")",,calculate,A1,A1,TEXT integer rounding code,format_render_numeric,none,observed,primary_value2_eq:1235,Current host rounds half-away from zero on 0 format code.
W13F-002,W13-FMT,ready,current_excel_host,formula_case,TEXT,"A1:=TEXT(1234.567,""0.00"")",,calculate,A1,A1,TEXT two-decimal code,format_render_numeric,none,observed,primary_value2_eq:1234.57,Current host renders fixed two-decimal output.
W13F-003,W13-FMT,ready,current_excel_host,formula_case,TEXT,"A1:=TEXT(0.125,""0%"")",,calculate,A1,A1,TEXT percentage code,format_render_numeric,none,observed,primary_value2_eq:13%,Current host multiplies by 100 and rounds to whole percent.
W13F-004,W13-FMT,ready,current_excel_host,formula_case,TEXT,"A1:=TEXT(DATE(2024,2,3),""yyyy-mm-dd"")",,calculate,A1,A1,TEXT yyyy-mm-dd code,format_render_date,none,observed,primary_value2_eq:2024-02-03,Current host emits canonical yyyy-mm-dd text for DATE serial input.
W13F-005,W13-FMT,ready,current_excel_host,formula_case,DOLLAR,"A1:=DOLLAR(1234.567,2)",,calculate,A1,A1,DOLLAR positive render,format_render_currency,none,observed,primary_value2_eq:R1 234.57,Current host uses R currency symbol and space grouping.
W13F-006,W13-FMT,ready,current_excel_host,formula_case,DOLLAR,"A1:=DOLLAR(-1234.567,2)",,calculate,A1,A1,DOLLAR negative render,format_render_currency,none,observed,primary_value2_eq:-R1 234.57,Current host uses minus-prefixed local currency rendering.
W13F-007,W13-FMT,ready,current_excel_host,formula_case,FIXED,"A1:=FIXED(1234.567,2)",,calculate,A1,A1,FIXED grouped render,format_render_fixed,none,observed,primary_value2_eq:1 234.57,Current host uses space grouping with no currency symbol.
W13F-008,W13-FMT,ready,current_excel_host,formula_case,FIXED,"A1:=FIXED(1234.567,2,TRUE)",,calculate,A1,A1,FIXED no-commas render,format_render_fixed,none,observed,primary_value2_eq:1234.57,Current host suppresses grouping when no_commas is TRUE.
W13F-009,W13-FMT,ready,current_excel_host,formula_case,FIXED,"A1:=FIXED(-1234.567,2)",,calculate,A1,A1,FIXED negative render,format_render_fixed,none,observed,primary_value2_eq:-1 234.57,Current host uses minus-prefixed grouped negative text.
W13F-010,W13-FMT,ready,current_excel_host,formula_case,TEXT,"A1:=TEXT(TRUE,""0"")",,calculate,A1,A1,TEXT logical TRUE stays logical text,format_render_logical,none,observed,primary_value2_eq:TRUE,Current host preserves logical text rather than numeric formatting for TRUE.
W13F-011,W13-FMT,ready,current_excel_host,formula_case,TEXT,"A1:=TEXT(""123"",""0.00"")",,calculate,A1,A1,TEXT parseable numeric text is rendered through format code,format_render_text_parse,none,observed,primary_value2_eq:123.00,Current host reparses numeric text before rendering.
W13F-012,W13-FMT,ready,current_excel_host,formula_case,TEXT,"A1:=TEXT(""x"",""0"")",,calculate,A1,A1,TEXT nonnumeric text is preserved,format_render_text_fallback,none,observed,primary_value2_eq:x,Current host preserves nonnumeric text when the value text is not parseable.
W13F-013,W13-FMT,ready,current_excel_host,mixed_case,TEXT,"A2:=TEXT(A1,""0"")","A1:=",calculate,A2,A1|A2,TEXT blank reference coerces to zero before formatting,format_render_blank,none,observed,primary_value2_eq:0,Current host renders a blank referenced cell as numeric zero in this lane.
W13F-014,W13-FMT,ready,current_excel_host,formula_case,DOLLAR,"A1:=DOLLAR(TRUE,2)",,calculate,A1,A1,DOLLAR logical TRUE numeric coercion,format_render_currency,none,observed,primary_value2_eq:R1.00,Current host coerces TRUE to 1 before currency formatting.
W13F-015,W13-FMT,ready,current_excel_host,formula_case,DOLLAR,"A1:=DOLLAR(""123"",2)",,calculate,A1,A1,DOLLAR parseable text numeric admission,format_render_currency,none,observed,primary_value2_eq:R123.00,Current host reparses numeric text before currency formatting.
W13F-016,W13-FMT,ready,current_excel_host,mixed_case,DOLLAR,"A2:=DOLLAR(A1,2)","A1:=",calculate,A2,A1|A2,DOLLAR blank reference zeroing,format_render_currency,none,observed,primary_value2_eq:R0.00,Current host coerces a blank referenced cell to zero before currency formatting.
W13F-017,W13-FMT,ready,current_excel_host,formula_case,FIXED,"A1:=FIXED(TRUE,2)",,calculate,A1,A1,FIXED logical TRUE numeric coercion,format_render_fixed,none,observed,primary_value2_eq:1.00,Current host coerces TRUE to 1 before fixed formatting.
W13F-018,W13-FMT,ready,current_excel_host,formula_case,FIXED,"A1:=FIXED(""123"",2)",,calculate,A1,A1,FIXED parseable text numeric admission,format_render_fixed,none,observed,primary_value2_eq:123.00,Current host reparses numeric text before fixed formatting.
W13F-019,W13-FMT,ready,current_excel_host,mixed_case,FIXED,"A2:=FIXED(A1,2)","A1:=",calculate,A2,A1|A2,FIXED blank reference zeroing,format_render_fixed,none,observed,primary_value2_eq:0.00,Current host coerces a blank referenced cell to zero before fixed formatting.
