"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"XM6-001","XM6-A","ready","formula_case","XMATCH","A1:=XMATCH(2,{1,2,3})","","calculate","A1","A1","Default exact/forward baseline","xmatch_exact_default","none","observed","primary_value2_eq:2","Seed deterministic admission/default lane."
"XM6-002","XM6-A","ready","formula_case","XMATCH","A1:=XMATCH(2,{2,1,2},0,1)","","calculate","A1","A1","Explicit exact/forward lane","xmatch_exact_forward_explicit","none","observed","primary_value2_eq:1","Baseline for explicit default-equivalent modes."
"XM6-003","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2,{2,1,2},0,-1)","","calculate","A1","A1","Reverse search mode lane","xmatch_search_reverse","none","observed","primary_value2_eq:3","Expected last match index."
"XM6-004","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(9,{1,2,3})","","calculate","A1","A1","No-match error lane","xmatch_not_found","none","observed","primary_text_eq:#N/A","Baseline not-available lane."
"XM6-005","XM6-A","ready","formula_case","XMATCH","A1:=XMATCH()","","calculate","A1","A1","Admission failure on missing required args","xmatch_missing_required_args","none","failed","notes_contains:0x800A03EC&&execution_status_eq:failed","Intentional admission-failure sentinel."
"XM6-006","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(1,{1,2,3},9)","","calculate","A1","A1","Invalid match_mode lane","xmatch_invalid_match_mode","none","observed","primary_text_eq:#VALUE!","Mode-validation lane."
"XM6-007","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(1,{1,2,3},0,9)","","calculate","A1","A1","Invalid search_mode lane","xmatch_invalid_search_mode","none","observed","primary_text_eq:#VALUE!","Mode-validation lane."
"XM6-008","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(""a*"",{""abc"",""def""},2)","","calculate","A1","A1","Wildcard mode observation lane","xmatch_wildcard_mode","none","observed","primary_value2_eq:1","Wildcard lane baseline (seed evidence capture)."
"XM6-009","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(3,{1,2,3,4},0,2)","","calculate","A1","A1","Binary ascending mode observation","xmatch_binary_ascending","none","observed","primary_value2_eq:3","Binary ascending lane baseline (seed evidence capture)."
"XM6-010","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(3,{4,3,2,1},0,-2)","","calculate","A1","A1","Binary descending mode observation","xmatch_binary_descending","none","observed","primary_value2_eq:2","Binary descending lane baseline (seed evidence capture)."
"XM6-011","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2.5,{1,2,3},1,1)","","calculate","A1","A1","Approximate exact-or-next-larger lane","xmatch_approx_next_larger","none","observed","primary_value2_eq:3","Approximate larger lane baseline (seed evidence capture)."
"XM6-012","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2.5,{1,2,3},-1,1)","","calculate","A1","A1","Approximate exact-or-next-smaller lane","xmatch_approx_next_smaller","none","observed","primary_value2_eq:2","Approximate smaller lane baseline (seed evidence capture)."
"XM6-013","XM6-C","ready","formula_case","XMATCH","A1:=XMATCH(""2"",{1,2,3})","","calculate","A1","A1","Cross-type comparison (text needle vs numeric haystack)","xmatch_cross_type_text_number","none","observed","primary_text_eq:#N/A","Captures coercion/comparison policy seam."
