scenario_id,lane,formula,expected_text,notes
W61-BETA-001,beta_gamma,"ROUND(BETA.DIST(0.5,2,3,TRUE),9)",0.6875,"Modern beta cumulative baseline."
W61-BETA-002,beta_gamma,"ROUND(BETA.INV(0.6,2,3),9)",0.444500002,"Modern beta inverse baseline."
W61-BETA-003,beta_gamma,"ROUND(BETADIST(0.5,2,3),9)",0.6875,"Legacy beta distribution follows the modern default-bounds lane."
W61-BETA-004,beta_gamma,"ROUND(BETAINV(0.6,2,3),9)",0.444500002,"Legacy beta inverse follows the modern default-bounds lane."
W61-BINOM-001,discrete_dist,"ROUND(BINOM.DIST(2,4,0.25,FALSE),9)",0.2109375,"Modern binomial point probability baseline."
W61-BINOM-002,discrete_dist,"ROUND(BINOM.DIST.RANGE(4,0.25,2,3),9)",0.2578125,"Modern binomial range probability baseline."
W61-BINOM-003,discrete_dist,"BINOM.INV(6,0.5,0.7)",4,"Modern binomial inverse baseline."
W61-BINOM-004,discrete_dist,"ROUND(BINOMDIST(2,4,0.25,FALSE),9)",0.2109375,"Legacy binomial alias follows the modern kernel."
W61-CHI-001,chi_f,"ROUND(CHIDIST(18.307,10),9)",0.050000589,"Legacy CHIDIST matches the right-tail chi-square lane."
W61-CHI-002,chi_f,"ROUND(CHIINV(0.0500006,10),9)",18.306999295,"Legacy CHIINV matches the right-tail chi-square inverse lane."
W61-CHISQ-001,chi_f,"ROUND(CHISQ.DIST(0.5,1,TRUE),9)",0.520499878,"Modern chi-square cumulative baseline."
W61-CHISQ-002,chi_f,"ROUND(CHISQ.DIST.RT(18.307,10),9)",0.050000589,"Modern chi-square right-tail baseline."
W61-CHISQ-003,chi_f,"ROUND(CHISQ.INV(0.95,10),9)",18.307038053,"Modern chi-square inverse baseline."
W61-CHISQ-004,chi_f,"ROUND(CHISQ.INV.RT(0.0500006,10),9)",18.306999295,"Modern chi-square right-tail inverse baseline."
W61-CONF-001,confidence,"ROUND(CONFIDENCE(0.05,2.5,100),9)",0.489990996,"Legacy CONFIDENCE follows the normal-confidence kernel."
W61-CONF-002,confidence,"ROUND(CONFIDENCE.NORM(0.05,2.5,100),9)",0.489990996,"Modern normal-confidence baseline."
W61-CRITBINOM-001,discrete_dist,"CRITBINOM(6,0.5,0.7)",4,"Legacy CRITBINOM follows BINOM.INV."
W61-EXPON-001,discrete_dist,"ROUND(EXPON.DIST(2,1.5,TRUE),9)",0.950212932,"Modern exponential cumulative baseline."
W61-EXPON-002,discrete_dist,"ROUND(EXPONDIST(2,1.5,TRUE),9)",0.950212932,"Legacy exponential alias follows the modern kernel."
W61-F-001,chi_f,"ROUND(F.DIST(15.2069,6,4,TRUE),9)",0.990000043,"Modern F cumulative baseline."
W61-F-002,chi_f,"ROUND(F.DIST.RT(15.2069,6,4),9)",0.009999957,"Modern F right-tail baseline."
W61-F-003,chi_f,"ROUND(F.INV(0.99,6,4),9)",15.206864861,"Modern F inverse baseline."
W61-F-004,chi_f,"ROUND(F.INV.RT(0.01,6,4),9)",15.206864861,"Modern F right-tail inverse baseline."
W61-F-005,chi_f,"ROUND(FDIST(15.2069,6,4),9)",0.009999957,"Legacy FDIST matches the right-tail F lane."
W61-F-006,chi_f,"ROUND(FINV(0.01,6,4),9)",15.206864861,"Legacy FINV matches the right-tail inverse lane."
W61-GAMMA-001,beta_gamma,"ROUND(GAMMA.DIST(2,3,2,TRUE),9)",0.080301397,"Modern gamma distribution baseline."
W61-GAMMA-002,beta_gamma,"ROUND(GAMMA.INV(0.5,3,2),9)",5.348120627,"Modern gamma inverse baseline."
W61-GAMMA-003,beta_gamma,"ROUND(GAMMADIST(2,3,2,TRUE),9)",0.080301397,"Legacy gamma distribution follows the modern kernel."
W61-GAMMA-004,beta_gamma,"ROUND(GAMMAINV(0.5,3,2),9)",5.348120627,"Legacy gamma inverse follows the modern kernel."
W61-ERR-001,beta_gamma,"BETA.DIST(1.5,2,3,TRUE)",#NUM!,"Out-of-range beta x rejects."
W61-ERR-002,discrete_dist,"BINOM.DIST(5,4,0.25,FALSE)",#NUM!,"Binomial trial-count overflow rejects."
W61-ERR-003,chi_f,"CHISQ.DIST(-1,1,TRUE)",#NUM!,"Negative chi-square x rejects."
W61-ERR-004,confidence,"CONFIDENCE.NORM(0,1,10)",#NUM!,"Confidence alpha must lie strictly inside the unit interval."
W61-ERR-005,discrete_dist,"EXPON.DIST(-1,1.5,FALSE)",#NUM!,"Negative exponential x rejects."
W61-ERR-006,chi_f,"F.DIST(-1,1,1,TRUE)",#NUM!,"Negative F-distribution x rejects."
W61-ERR-007,beta_gamma,"GAMMA.DIST(-1,2,3,TRUE)",#NUM!,"Negative gamma x rejects."
