"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"ABS5-001","ABS5-A","ready","formula_case","ABS","A1:=ABS(-2)","","calculate","A1","A1","Unary numeric baseline","abs_scalar_numeric","none","observed","primary_value2_eq:2","Core unary kernel seed."
"ABS5-002","ABS5-A","ready","formula_case","ABS","A1:=ABS("" -2 "")","","calculate","A1","A1","Text-to-number coercion in unary ABS","abs_scalar_text_numeric","none","observed","primary_value2_eq:2","Consumes W4 scalar coercion primitive."
"ABS5-003","ABS5-A","ready","formula_case","ABS","A1:=ABS(""asd"")","","calculate","A1","A1","Non-numeric text coercion error path","abs_scalar_text_invalid","none","observed","primary_text_eq:#VALUE!","Runtime coercion error lane."
"ABS5-004","ABS5-A","ready","formula_case","ABS","A1:=ABS()","","calculate","A1","A1","Required-argument omission admission behavior","abs_missing_required_arg","none","failed","notes_contains:0x800A03EC&&execution_status_eq:failed","Intentional admission-failure sentinel."
"ABS5-005","ABS5-A","ready","formula_case","ABS","A1:=ABS(TRUE)","","calculate","A1","A1","Logical-to-number coercion in ABS","abs_scalar_logical_numeric","none","observed","primary_value2_eq:1","Coercion path seed for BOOL input."
"ABS5-006","ABS5-B","ready","formula_case","ABS","A1:=ABS(-0)","","calculate","A1","A1","Negative-zero normalization","abs_fp_negative_zero","none","observed","primary_value2_eq:0","Floating-point sign normalization lane."
"ABS5-007","ABS5-B","ready","formula_case","ABS","A1:=ABS(-1/0)","","calculate","A1","A1","Upstream divide-by-zero propagation through ABS","abs_fp_div0_propagation","none","observed","primary_text_eq:#DIV/0!","Error propagation through unary kernel."
"ABS5-008","ABS5-C","ready","formula_case","ABS","A1:=ABS({-1,""asd"",2})","","calculate","A1","A1|B1|C1","Array-lift mixed element behavior","abs_array_lift_mixed","none","observed","","Tracks per-element error-bearing lift lane."
"ABS5-009","ABS5-C","ready","formula_case","ABS","A1:=ABS({-1,2})","","calculate","A1","A1|B1","Array-lift numeric-only behavior","abs_array_lift_numeric","none","observed","","Tracks spill/lift baseline for numeric elements."
"ABS5-010","ABS5-D","ready","mixed_case","ABS","B1:=ABS(A1)","A1:=-3","calculate","B1","A1|B1","Reference dereference before ABS coercion","abs_ref_numeric","eval_time_deref","observed","primary_value2_eq:3","Formula-vs-reference boundary seed."
"ABS5-011","ABS5-D","ready","mixed_case","ABS","B1:=ABS(A1)","A1:="" -4 ""","calculate","B1","A1|B1","Reference + text numeric coercion in ABS","abs_ref_text_numeric","eval_time_deref","observed","primary_value2_eq:4","Reference + coercion composition seed."
"ABS5-012","ABS5-B","ready","mixed_case","ABS","A1:=-1E-307/1E20|B1:=ABS(A1)","","calculate","B1","A1|B1","Subnormal boundary feed from W2 into ABS","abs_fp_subnormal_boundary","eval_time_deref","observed","","Baseline keeps observed outcome explicit."
"ABS5-013","ABS5-E","ready","formula_case","ABS","A1:=ABS(-2)","","save_reopen_recalc","A1","A1","Persistence lane for ABS unary output","abs_persistence_save_reopen","none","observed","primary_value2_eq:2","Formula-vs-persistence boundary seed."
"ABS5-014","ABS5-D","ready","formula_case","ABS","A1:=ABS(INDIRECT(""[ClosedWorkbook.xlsx]Sheet1!A1""))","","external_ref_open_state_compare","A1","A1","External/open-state reference seam consumed through ABS","abs_ref_external_open_state","external_workbook_ref","observed","","Closed-vs-open external workbook behavior through ABS resolver seam."
"ABS5-015","ABS5-C","ready","mixed_case","ABS","A1:=ABS(SEQUENCE(1,2,-1,3))","B1:=999","calculate_formula2","A1","A1|B1","Spill obstruction behavior for ABS array-lift","abs_array_spill_obstruction","none","observed","primary_text_eq:#SPILL!","Obstructed spill target should surface #SPILL!."
"ABS5-016","ABS5-A","ready","formula_case","ABS","A1:=ABS(""1,5"")","","calculate","A1","A1","Locale-sensitive text-number coercion seed","abs_scalar_text_locale_sensitive","none","observed","primary_text_eq:#VALUE!","Expected for en-US baseline; locale-variant follow-on required."
"ABS5-017","ABS5-B","ready","formula_case","ABS","A1:=ABS(-1E-307/1000)|B1:=1/A1","","calculate","B1","A1|B1","Direct ABS tiny-negative reciprocal distinguishes zero collapse from hidden subnormal retention","abs_fp_subnormal_reciprocal_direct","none","observed","primary_text_eq:#DIV/0!","If ABS retained a nonzero tiny value here, the reciprocal would not surface #DIV/0!."
"ABS5-018","ABS5-B","ready","mixed_case","ABS","A1:=-1E-307/1000|B1:=ABS(A1)|C1:=1/B1","","calculate","C1","A1|B1|C1","Reference-fed ABS tiny-negative reciprocal distinguishes zero collapse from hidden subnormal retention","abs_fp_subnormal_reciprocal_ref","eval_time_deref","observed","primary_text_eq:#DIV/0!","Reference-fed ABS should show the same worksheet-visible tiny-value collapse as the direct formula lane."
