function_id,contract_row_id,lean_module,lean_theorem_ids,rust_module,rust_test_ids,evidence_ids,excel_version_scope,compatibility_version_scope,status,notes
FUNC.PI,FN-PI-001,OxFunc.Functions.Pi,evalPi_admitted_result;evalPi_rejects_cons;evalPi_deterministic;piMeta_layered_profiles,oxfunc_core::functions::pi,test_pi_meta_thread_safety_class_is_safe_pure;test_pi_meta_arg_preparation_profile_values_only;test_pi_meta_coercion_and_kernel_profiles;test_pi_meta_adapter_and_surface_fec_profiles_none;test_eval_pi_returns_pi_constant;test_eval_pi_rejects_nonzero_args;test_eval_pi_is_bitwise_stable,TBD-EMP-PI-001;TBD-SPEC-PI-001;W1-FA-BL-20260305;W9-XLL-BL-20260308,unbounded_provisional,unbounded_provisional,provisional,Seed correlation row for first end-to-end function slice plus admission-boundary baseline in docs/function-lane/FORMULA_ADMISSION_BEHAVIOR_NOTES.md with layered metadata declarations (arg prep/coercion-kernel/fec split). W9 adds exercised XLL bridge export `ox_PI` via `OxFunc64.xll`.
FUNC.ABS,FN-ABS-001,OxFunc.Functions.Abs;OxFunc.Functions.AbsSurface,absKernel_of_neg;absKernel_of_nonneg;evalAbsScalar_rejects_nil;evalAbsScalar_rejects_two;evalAbsScalar_admitted_number_neg;evalAbsScalar_logical_true;evalAbsScalar_text_bad;evalAbsLift_length;evalAbsScalar_deterministic;absMeta_values_only_preparation;absMeta_adapter_fec_none;absMeta_surface_fec_ref_only;absMeta_kernel_signature_num_to_num;absMeta_coercion_profile_unary_numeric_scalar_or_array;prepareAbsSurfaceArgValuesOnly_prepared_passthrough;evalAbsSurfaceScalar_rejects_nil;evalAbsSurfaceScalar_prepared_number_neg;evalAbsSurfaceScalar_prepared_logical_true;evalAbsSurfaceScalar_prepared_text_bad;evalAbsSurfaceLift_length;evalAbsSurfacePrepared_matches_adapter_arg;evalAbsSurfaceScalar_deterministic;evalAbsSurfaceFromRef_deterministic,oxfunc_core::functions::abs;oxfunc_core::functions::adapters,abs_meta_matches_w5_contract_shape;eval_abs_adapter_scalar_prepared_rejects_non_unary_calls;eval_abs_adapter_scalar_prepared_on_number;eval_abs_adapter_scalar_prepared_text_numeric_is_coerced;eval_abs_adapter_scalar_prepared_non_numeric_text_returns_coercion_error;eval_abs_adapter_scalar_prepared_propagates_worksheet_error_via_coercion;abs_kernel_negative_zero_is_normalized_to_positive_zero;abs_kernel_infinity_and_nan_behavior;eval_abs_adapter_array_lift_prepared_preserves_per_element_outcome;eval_abs_adapter_scalar_prepared_value_wraps_scalar_result_as_eval_number;eval_abs_adapter_scalar_prepared_is_values_only_and_needs_no_resolver;eval_abs_adapter_array_lift_prepared_maps_without_reference_seam;abs_coercion_lift_profile_is_declared;eval_abs_scalar_rejects_non_unary_calls;eval_abs_scalar_on_number;eval_abs_scalar_text_numeric_is_coerced;eval_abs_scalar_non_numeric_text_returns_coercion_error;eval_abs_scalar_reference_uses_resolver;eval_abs_scalar_propagates_worksheet_error_via_coercion;eval_abs_array_lift_preserves_per_element_outcome;eval_abs_scalar_value_wraps_scalar_result_as_eval_number;eval_abs_surface_scalar_matches_adapter_for_prepared_numeric_input,TBD-SPEC-ABS-001;W2-RUN-20260305;W4-COERCE-BL-20260307;W5-ABS-BL-20260308;W5-ABS-ENTRY-20260308;W9-XLL-BL-20260308,unbounded_provisional,unbounded_provisional,provisional,W5 ABS full-formality slice with adapter/kernel and surface wrappers co-located in `functions::abs`, with pre-adapter preparation through shared `functions::adapters` runner helpers, arg_preparation_profile=values_only_pre_adapter, adapter-level fec_dependency_profile=none, surface-level surface_fec_dependency_profile=ref_only, and dual-run empirical requirement (default + compat_template). W9 adds exercised XLL bridge exports `ox_ABS` (U-style) and `ox_ABS_Q` (Q-style).
FUNC.XMATCH,FN-XMATCH-001,OxFunc.Functions.Xmatch;OxFunc.Functions.XmatchSurface,xmatchMeta_seed_profiles;evalXmatch_defaults_exact_forward;evalXmatch_reverse_returns_last_match;evalXmatch_not_available_lane;evalXmatch_lookup_array_error_skipped;evalXmatch_deterministic;prepareXmatchSurfaceArgValuesOnly_prepared_passthrough;evalXmatchSurfacePrepared_matches_adapter;evalXmatchSurface_deterministic;evalXmatchSurfaceFromRef_deterministic,oxfunc_core::functions::xmatch;oxfunc_core::functions::xmatch_surface,xmatch_meta_matches_w6_seed_shape;validate_xmatch_surface_arity_enforces_two_to_four;eval_xmatch_adapter_prepared_defaults_to_exact_forward;eval_xmatch_adapter_prepared_reverse_mode_returns_last_match;eval_xmatch_adapter_prepared_not_found_returns_na_lane;eval_xmatch_adapter_prepared_text_match_is_case_insensitive;eval_xmatch_adapter_prepared_mixed_type_comparison_has_no_match;eval_xmatch_adapter_prepared_rejects_invalid_modes;eval_xmatch_adapter_prepared_supports_wildcard_mode;eval_xmatch_adapter_prepared_honors_wildcard_escaping;eval_xmatch_adapter_prepared_reverse_wildcard_returns_last_match;eval_xmatch_adapter_prepared_supports_binary_modes;eval_xmatch_adapter_prepared_binary_modes_accept_text_and_logical_ordering;eval_xmatch_adapter_prepared_supports_approximate_modes;eval_xmatch_adapter_prepared_approximate_modes_prefer_exact_match;eval_xmatch_adapter_prepared_propagates_lookup_value_error_lane;eval_xmatch_adapter_prepared_skips_lookup_array_errors_when_match_exists;eval_xmatch_adapter_prepared_skips_lookup_array_errors_when_no_match;eval_xmatch_adapter_prepared_value_wraps_index_as_eval_number;eval_xmatch_surface_uses_reference_preparation_for_lookup_value;eval_xmatch_surface_flattens_lookup_array_argument;eval_xmatch_surface_rejects_two_dimensional_lookup_array;eval_xmatch_surface_value_wraps_index_as_eval_number;eval_xmatch_surface_search_mode_uses_prepared_coercion;eval_xmatch_surface_coercion_error_from_mode_is_propagated;eval_xmatch_surface_lookup_array_error_is_skipped_as_non_match;xmatch_meta_arity_is_two_to_four_in_surface_context,TBD-SPEC-XMATCH-001;W7-STR-BL-20260305;W6-XMATCH-SEED-20260308;W6-XMATCH-BL-20260308;W6-XMATCH-EXP-20260310,unbounded_provisional,unbounded_provisional,provisional,W6 XMATCH is function-phase-complete for the current reference baseline. Runtime and replay coverage now include blank-vs-empty lookup behavior, wildcard escaping, binary duplicate selection, selected unsorted binary invalid-result lanes, and array-constant built-in vs ox_XMATCH parity, with broader locale/version replay left to orthogonal validation sweeps.
FUNC.SUM,FN-SUM-001,OxFunc.Functions.Sum,sumKernel_nil_zero;evalSumPrepared_numbers;evalSumPrepared_direct_scalar_text_and_logical;evalSumPrepared_direct_array_literal_scan_policy;evalSumPrepared_reference_derived_scan_policy;evalSumPrepared_opaque_array_fallback_scan_policy;evalSumPrepared_rejects_non_numeric_direct_text;sumMeta_profiles,oxfunc_core::functions::sum,eval_sum_on_numbers;eval_sum_coerces_direct_logical_and_numeric_text;eval_sum_rejects_direct_non_numeric_text;eval_sum_treats_missing_and_empty_direct_args_as_zero;eval_sum_propagates_direct_scalar_error;eval_sum_ignores_reference_derived_text_and_logical;eval_sum_combines_direct_scalar_and_reference_derived_policies;eval_sum_direct_arrays_use_range_like_policy;eval_sum_propagates_errors_from_range_like_inputs;eval_sum_reference_derived_empty_cells_are_ignored;eval_sum_direct_array_literal_uses_array_scan_policy;eval_sum_opaque_array_fallback_uses_array_scan_policy,W10-TENMIX-SEED-20260308,unbounded_provisional,unbounded_provisional,provisional,W10 SUM is function-phase-complete for the current reference baseline. Runtime and Lean now model the explicit direct-scalar versus array-like distinction, with direct-array-literal, reference-derived, and opaque-array fallback lanes all feeding the same array-scan policy unless later evidence proves a finer semantic split.
FUNC.IF,FN-IF-001,OxFunc.Functions.IfFn,evalIfAdapter_true_branch;evalIfAdapter_false_branch;evalIfAdapter_text_bad_errors;ifMeta_profiles,oxfunc_core::functions::if_fn,eval_if_true_branch_only;eval_if_false_branch_only;eval_if_missing_false_branch_defaults_false,W10-TENMIX-SEED-20260308,unbounded_provisional,unbounded_provisional,provisional,W10 seed covers lazy branch selection under refs-visible adapter profile.
FUNC.INDEX,FN-INDEX-001,OxFunc.Functions.Index,evalIndexAdapter_missing_row_defaults;evalIndexAdapter_missing_col_defaults;evalIndexAdapter_multi_area_selection;evalIndexAdapter_area_zero_zero_returns_whole_area;evalIndexAdapter_array_payload;evalIndexAdapter_array_zero_row_slice;evalIndexAdapter_array_zero_col_slice;indexMeta_profiles,oxfunc_core::functions::index,eval_index_reference_projection_projects_actual_a1_target;eval_index_array_position_returns_payload_value;eval_index_array_bounds_checked;eval_index_array_zero_row_returns_column_array;eval_index_invalid_area_num_rejected;eval_index_missing_row_and_col_follow_excel_defaults;eval_index_multi_area_reference_selects_area_num;eval_index_mixed_sheet_multi_area_is_rejected,W10-TENMIX-SEED-20260308;W10-CLOSEOUT-20260311,unbounded_provisional,unbounded_provisional,provisional,W10 INDEX is function-phase-complete for the current reference baseline. Runtime and Lean now cover explicit blank row/column defaults, same-sheet multi-area area_num selection, row/column zero slice semantics, and mixed-sheet multi-area rejection at the OxFunc seam.
FUNC.MATCH,FN-MATCH-001,OxFunc.Functions.MatchFn,evalMatchExact_found;evalMatchExact_not_found;matchMeta_profiles,oxfunc_core::functions::match_fn,eval_match_exact_returns_first_index;eval_match_default_match_type_uses_approximate_next_smaller;eval_match_case_insensitive_text_comparison;eval_match_flattens_lookup_vectors_and_rejects_two_dimensional_arrays,W10-TENMIX-SEED-20260308;W10-LOOKUP-XLL-20260310,unbounded_provisional,unbounded_provisional,provisional,W10 MATCH is function-phase-complete for the current reference baseline. Runtime and replay coverage now include wildcard escaping, blank lookup no-match behavior, duplicate selection for approximate modes, selected unsorted invalid-result lanes, and array-constant built-in vs ox_MATCH parity, with broader locale/version replay left to orthogonal validation sweeps.
FUNC.ISNUMBER,FN-ISNUMBER-001,OxFunc.Functions.IsNumber,isNumberKernel_number_true;isNumberKernel_text_false;evalIsNumberAdapter_error_false_as_zero;isNumberMeta_profiles,oxfunc_core::functions::isnumber,eval_isnumber_on_number_is_true;eval_isnumber_on_text_is_false;eval_isnumber_on_error_is_false;eval_isnumber_reference_path_uses_preparation,W10-TENMIX-SEED-20260308,unbounded_provisional,unbounded_provisional,provisional,W10 seed unary type-classification function with values-only preparation.
FUNC.NOW,FN-NOW-001,OxFunc.Functions.Now,evalNowAdapter_returns_provider_value;evalNowAdapter_rejects_args;nowMeta_profiles,oxfunc_core::functions::now_fn,eval_now_uses_provider_serial_value;eval_now_rejects_args;eval_now_rejects_non_finite_provider_payload,W10-TENMIX-SEED-20260308,unbounded_provisional,unbounded_provisional,provisional,W10 seed introduces explicit time-provider seam and volatile classification.
FUNC.XLOOKUP,FN-XLOOKUP-001,OxFunc.Functions.Xlookup,parseXlookupMatchModeExactOnly_rejects_seed_non_exact;evalXlookupSeed_deterministic;findXlookupForward_reference_return_preserved;xlookupMeta_profiles,oxfunc_core::functions::xlookup,eval_xlookup_exact_forward_returns_value;eval_xlookup_supports_wildcard_and_reverse_search;eval_xlookup_returns_if_not_found_fallback;eval_xlookup_supports_reference_return_from_single_area_argument;eval_xlookup_rejects_orientation_mismatch,W10-TENMIX-SEED-20260308;W10-LOOKUP-XLL-20260310,unbounded_provisional,unbounded_provisional,provisional,W10 XLOOKUP is function-phase-complete for the current reference baseline. Runtime and replay coverage now include optional-argument defaulting, blank-vs-empty lookup distinction, blank return-cell materialization to zero, wildcard escaping, selected binary lanes, reference-return identity/range composition, and array-constant built-in vs ox_XLOOKUP parity; remaining XLL reference-range divergence is tracked as an external seam limit, not a core semantic gap.
