function_name,status,owner,notes
AGGREGATE,done_in_w23,W23,"Typed row-visibility callback seam and current-baseline reference-form runtime are evidenced."
HYPERLINK,open_in_w23,W23,"Value side is ordinary text, but publication/clickability semantics remain above OxFunc."
IMAGE,open_in_w23,W23,"Current baseline pressures an extended/rich host value or publication object model."
SUBTOTAL,done_in_w23,W23,"Typed row-visibility callback seam and current-baseline reference-form runtime are evidenced."
DAVERAGE,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DCOUNT,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DCOUNTA,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DGET,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DMAX,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DMIN,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DPRODUCT,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DSTDEV,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DSTDEVP,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DSUM,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DVAR,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
DVARP,done_in_w23,W23,"Database-family current-baseline slice is evidenced."
ISFORMULA,done_in_w23,W23,"Typed formula-metadata host query is evidenced and already bridged through the XLL host-info path."
