surface_id,path_or_pattern,bucket,target_action,phase,replacement_or_anchor,rationale
W070-001,README.md,active_canonical,keep_and_trim,C,README.md,Top-level repo entrypoint and live active-surface map
W070-002,CHARTER.md,active_canonical,keep_and_rewrite,C,CHARTER.md,Normative OxFunc charter and completeness doctrine
W070-003,OPERATIONS.md,active_canonical,keep_and_rewrite,C,OPERATIONS.md,Normative execution doctrine to be reoriented around beads
W070-004,AGENTS.md,active_canonical,keep_and_rewrite,C,AGENTS.md,Agent-facing operating contract must match post-migration doctrine
W070-005,docs/PARKED_CURRENT_BASELINE_20260401.md,active_canonical,keep,F,docs/PARKED_CURRENT_BASELINE_20260401.md,Current parked non-deferred baseline anchor
W070-006,docs/FOUNDATION_SPEC_INDEX.md,active_canonical,keep,F,docs/FOUNDATION_SPEC_INDEX.md,Current bridge into Foundation doctrine and reference corpus
W070-006A,docs/DOC_OWNERSHIP_RECOMMENDATION.md,historical_provenance,remove_from_active_tree,E,tag:OxFunc_V1,Adopted migration-era ownership note no longer needed as active doctrine
W070-006B,docs/FOUNDATION_EDITOR_PROMPTS_FROM_OXFUNC.md,historical_provenance,remove_from_active_tree,E,tag:OxFunc_V1,Prompt helper for historical Foundation editorial intake rather than live OxFunc truth
W070-007,docs/WORKSET_REGISTER.md,active_canonical,create,C,docs/WORKSET_REGISTER.md,Future owner of ordered workset truth
W070-008,docs/BEADS.md,active_canonical,create,C,docs/BEADS.md,Future owner of local bead execution method
W070-009,.beads/**,active_canonical,create,D,.beads/,Future sole owner of live execution-state truth
W070-010,docs/worksets/W070_OXFUNC_BEADS_MIGRATION_AND_ACTIVE_TREE_REDUCTION.md,active_canonical,keep,all,docs/worksets/W070_OXFUNC_BEADS_MIGRATION_AND_ACTIVE_TREE_REDUCTION.md,Authoritative migration packet
W070-011,docs/IN_PROGRESS_FEATURE_WORKLIST.md,active_canonical,keep_and_shrink,E,docs/IN_PROGRESS_FEATURE_WORKLIST.md,Retain as high-level feature map only
W070-012,docs/worksets/README.md,active_canonical,shrink_or_retire,E,docs/WORKSET_REGISTER.md,Current workset index mixes index and live-status narrative
W070-013,CURRENT_BLOCKERS.md,historical_provenance,retire_from_active_tree,E,.beads/ + OPERATIONS.md,Ordinary blocker truth should move into beads
W070-014,TUX1000_PLAN.md,historical_provenance,remove_from_active_tree,A,tag:OxFunc_V1,Historical planning artifact no longer needed as live doctrine
W070-015,docs/function-lane/OXFUNC_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_V1.csv,active_canonical,keep,F,docs/function-lane/OXFUNC_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_V1.csv,Current published downstream-facing catalog artifact
W070-016,docs/function-lane/OXFUNC_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_V1_README.md,active_canonical,keep,F,docs/function-lane/OXFUNC_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_V1_README.md,Current consumer guidance for published catalog
W070-017,docs/function-lane/OXFUNC_DOWNSTREAM_METADATA_AND_HELP_CONTRACT.md,active_canonical,keep,F,docs/function-lane/OXFUNC_DOWNSTREAM_METADATA_AND_HELP_CONTRACT.md,Current downstream metadata/help contract
W070-018,docs/function-lane/OXFUNC_SURFACE_ADMISSION_AND_LABELING_POLICY.md,active_canonical,keep,F,docs/function-lane/OXFUNC_SURFACE_ADMISSION_AND_LABELING_POLICY.md,Current support/deferred labeling policy for downstream users
W070-019,docs/function-lane/FORMALIZATION_STRATEGY_EXECUTABLE_SEMANTIC_MODEL.md,active_canonical,keep,F,docs/function-lane/FORMALIZATION_STRATEGY_EXECUTABLE_SEMANTIC_MODEL.md,Current formalization doctrine
W070-020,docs/function-lane/FUNCTION_LANE_EVIDENCE_ID_REGISTRY.md,active_evidence,keep,F,docs/function-lane/FUNCTION_LANE_EVIDENCE_ID_REGISTRY.md,Current evidence linkage surface for supported claims
W070-021,docs/function-lane/W54_LEAN_FORMALIZATION_GAP_INVENTORY.csv,active_evidence,keep_for_now,F,docs/worksets/W054_LEAN_FORMALIZATION_GAP_RECONCILIATION.md,Current non-deferred gap closure is parked but future proof-deepening may still reference this ledger
W070-022,docs/worksets/W044_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_BASELINE.md,active_evidence,keep_for_now,F,docs/worksets/W044_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_BASELINE.md,Current V1 export provenance owner until V2 supersedes it
