entry_name,entry_kind,provenance_owner,notes
COPILOT,function,W041,"Deferred with the external/provider family for the current version."
CUBEKPIMEMBER,function,W041,"Deferred cube-context function."
CUBEMEMBER,function,W041,"Deferred cube-context function."
CUBEMEMBERPROPERTY,function,W041,"Deferred cube-context function."
CUBERANKEDMEMBER,function,W041,"Deferred cube-context function."
CUBESET,function,W041,"Deferred cube-context function."
CUBESETCOUNT,function,W041,"Deferred cube-context function."
CUBEVALUE,function,W041,"Deferred cube-context function."
DETECTLANGUAGE,function,W041,"Deferred external/provider function."
ENCODEURL,function,W041,"Deferred with the current W041 family despite bounded local work."
EUROCONVERT,function,W025,"Deferred add-in-owned surface."
FILTERXML,function,W041,"Deferred with the current W041 family despite bounded local work."
GETPIVOTDATA,function,W041,"Deferred until PivotTable structure/topology is in scope above OxFunc."
PHONETIC,function,W041,"Deferred external/stored-metadata surface."
STOCKHISTORY,function,W041,"Deferred external/provider function."
TRANSLATE,function,W036,"Deferred from the current-version completion target even though W036 already pinned a narrow provider-language seam baseline."
WEBSERVICE,function,W041,"Deferred external/provider function."
